Name,Acceleration,Finishing,Heading accuracy,Penalties,Volleys
Cristiano Ronaldo,89,94,88,85,88
L. Messi,92,95,71,74,85
Neymar,94,89,62,81,83
L. Suárez,88,94,77,85,88
M. Neuer,58,13,25,47,11
R. Lewandowski,79,91,85,81,87
De Gea,57,13,21,40,13
E. Hazard,93,83,57,86,79
T. Kroos,60,76,54,73,82
G. Higuaín,78,91,86,70,88
Sergio Ramos,75,60,91,68,66
K. De Bruyne,76,83,53,77,82
T. Courtois,46,14,13,27,12
A. Sánchez,88,85,70,77,83
L. Modrić,75,71,55,80,74
G. Bale,93,87,86,76,76
S. Agüero,90,90,68,83,85
G. Chiellini,68,33,84,50,45
G. Buffon,49,15,13,22,17
P. Dybala,88,85,68,86,88
J. Oblak,43,11,15,11,13
A. Griezmann,87,88,80,71,87
Thiago,77,69,58,75,90
P. Aubameyang,95,88,79,79,86
L. Bonucci,62,39,88,70,58
J. Boateng,72,34,85,46,53
D. Godín,62,42,92,50,47
M. Hummels,62,55,89,68,60
M. Özil,75,74,54,67,77
H. Lloris,65,10,10,40,11
Thiago Silva,70,38,82,71,63
Z. Ibrahimović,63,87,80,91,90
A. Robben,87,85,51,80,86
N. Kanté,82,65,54,54,56
M. Verratti,69,58,55,64,64
P. Pogba,72,71,73,76,85
C. Eriksen,77,76,52,67,74
A. Vidal,76,77,81,81,78
E. Cavani,75,83,88,84,84
Marcelo,77,67,71,59,54
M. Hamšík,72,78,74,70,79
I. Rakitić,67,83,58,78,80
David Silva,72,71,54,73,79
S. Handanovič,54,10,10,23,12
Piqué,55,64,83,69,57
Iniesta,72,70,54,71,74
H. Kane,68,90,83,84,73
J. Rodríguez,77,82,62,81,91
Isco,74,88,55,76,64
D. Alaba,86,63,75,80,68
R. Lukaku,76,89,87,82,76
Alex Sandro,84,55,76,60,68
T. Müller,76,87,82,60,83
Sergio Busquets,48,60,68,60,44
Coutinho,88,74,47,64,75
M. Reus,86,86,49,87,88
T. Alderweireld,62,45,82,60,38
David Luiz,68,55,83,75,64
Diego Costa,74,88,83,76,81
R. Nainggolan,80,76,59,63,75
Javi Martínez,49,53,90,52,61
D. Mertens,93,85,35,78,70
Sokratis,71,44,87,33,46
Miranda,67,43,83,49,51
K. Benzema,77,87,78,82,79
Cesc Fàbregas,65,76,74,80,81
