Name,Acceleration,Finishing,Free kick accuracy,Heading accuracy,Penalties,Sprint speed,Volleys
Cristiano Ronaldo,89,94,76,88,85,91,88
L. Messi,92,95,90,71,74,87,85
Neymar,94,89,84,62,81,90,83
L. Suárez,88,94,84,77,85,77,88
M. Neuer,58,13,11,25,47,61,11
R. Lewandowski,79,91,84,85,81,83,87
De Gea,57,13,19,21,40,58,13
E. Hazard,93,83,79,57,86,87,79
G. Higuaín,78,91,62,86,70,80,88
K. De Bruyne,76,83,83,53,77,75,82
T. Courtois,46,14,11,13,27,52,12
A. Sánchez,88,85,78,70,77,84,83
L. Modrić,75,71,77,55,80,71,74
G. Bale,93,87,85,86,76,95,76
S. Agüero,90,90,72,68,83,84,85
G. Chiellini,68,33,31,84,50,78,45
G. Buffon,49,15,13,13,22,43,17
P. Dybala,88,85,84,68,86,84,88
J. Oblak,43,11,14,15,11,60,13
A. Griezmann,87,88,75,80,71,86,87
P. Aubameyang,95,88,74,79,79,96,86
L. Bonucci,62,39,61,88,70,72,58
J. Boateng,72,34,31,85,46,78,53
D. Godín,62,42,51,92,50,67,47
M. Hummels,62,55,53,89,68,65,60
M. Özil,75,74,79,54,67,68,77
H. Lloris,65,10,10,10,40,63,11
Thiago Silva,70,38,67,82,71,74,63
Z. Ibrahimović,63,87,82,80,91,67,90
A. Robben,87,85,81,51,80,86,86
N. Kanté,82,65,49,54,54,80,56
M. Verratti,69,58,64,55,64,62,64
P. Pogba,72,71,82,73,76,76,85
A. Vidal,76,77,68,81,81,74,78
E. Cavani,75,83,74,88,84,78,84
Marcelo,77,67,67,71,59,79,54
M. Hamšík,72,78,72,74,70,75,79
I. Rakitić,67,83,84,58,78,64,80
S. Handanovič,54,10,14,10,23,57,12
Piqué,55,64,43,83,69,73,57
H. Kane,68,90,66,83,84,74,73
J. Rodríguez,77,82,86,62,81,75,91
Isco,74,88,74,55,76,69,64
R. Lukaku,76,89,66,87,82,89,76
Alex Sandro,84,55,59,76,60,88,68
T. Müller,76,87,59,82,60,78,83
Sergio Busquets,48,60,68,68,60,34,44
M. Reus,86,86,84,49,87,90,88
T. Alderweireld,62,45,69,82,60,69,38
Diego Costa,74,88,59,83,76,75,81
Javi Martínez,49,53,45,90,52,50,61
D. Mertens,93,85,77,35,78,87,70
Sokratis,71,44,35,87,33,84,46
Miranda,67,43,39,83,49,74,51
K. Benzema,77,87,73,78,82,78,79
Cesc Fàbregas,65,76,81,74,80,62,81
F. Ribéry,85,76,81,41,78,79,80
Pepe,65,46,47,80,57,70,23
P. Čech,40,12,19,19,23,44,17
Y. Carrasco,87,79,78,53,74,89,68
R. Varane,77,40,54,83,43,81,42
Casemiro,63,59,74,74,66,61,53
A. Lacazette,84,87,71,72,84,87,82
K. Navas,54,15,15,11,25,53,11
H. Mkhitaryan,88,77,64,53,72,84,81
D. Subašić,51,10,66,13,23,54,13
B. Leno,46,9,8,13,23,52,10
M. ter Stegen,38,14,12,11,25,50,14
K. Glik,53,27,26,85,39,58,17
I. Gündoğan,73,72,74,49,76,70,75
Azpilicueta,78,46,58,76,66,79,51
A. Di María,86,74,72,53,73,86,77
M. Pjanić,74,61,91,60,79,74,72
